district,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
1,first_place_votes,oregon_bin_count_share_large,geography_bins,record share,13,-0.04557569153221614,0.8824668130911367,0.24209101306752098,0.4255192840857562,0.04557569153221614,0.24209101306752098,0.9577159211841795,0.557612829375993
1,first_place_votes,oregon_bin_count_mega,geography_bins,record count,13,0.6627433751768957,0.013561851872306132,0.5698028822981898,0.042056666472555695,0.6627433751768957,0.5698028822981898,0.04755709442115211,0.11544967266976074
1,first_place_votes,oregon_bin_count_share_mega,geography_bins,record share,13,0.6162410058028697,0.02490790482976009,0.5590852462516898,0.04699134461660141,0.6162410058028697,0.5590852462516898,0.07157246913503885,0.11747836154150353
2,mentions,total_amount,scale,dollar amount,20,0.7310821844528812,0.0002502669250867919,0.7744360902255639,6.119579516446203e-05,0.7310821844528812,0.7744360902255639,0.004379671189018859,0.0008567411323024684
2,mentions,total_record_count,scale,record count,20,0.7043634829875826,0.000526499174356522,0.7548872180451127,0.00011960282700609442,0.7043634829875826,0.7548872180451127,0.006142490367492756,0.0015222177982593837
2,mentions,mean_amount,scale,dollar amount,20,0.08978263747934245,0.7065985726208616,0.05563909774436089,0.8157739948259725,0.08978263747934245,0.05563909774436089,0.7851095251342906,0.8575413792015045
2,mentions,median_amount,scale,dollar amount,20,0.1717347582273351,0.46908132802571956,0.0376667010255582,0.8747251779106243,0.1717347582273351,0.0376667010255582,0.591531839202061,0.8949931236914462
2,mentions,bin_amount_micro,overall_bins,dollar amount,20,0.6502521047581447,0.0019093651967957946,0.7022556390977444,0.0005564352866091828,0.6502521047581447,0.7022556390977444,0.014338780269939939,0.0032458725052202327
2,mentions,bin_amount_share_micro,overall_bins,dollar share,20,-0.16078801581411784,0.4982836548647061,-0.09323308270676692,0.6958288642370746,0.16078801581411784,0.09323308270676692,0.6066061885309466,0.7909048517779237
2,mentions,bin_count_micro,overall_bins,record count,20,0.5087945744898803,0.0219651228153468,0.6781954887218045,0.0010140621699159448,0.5087945744898803,0.6781954887218045,0.07676050741124232,0.0048954725444218024
2,mentions,bin_count_share_micro,overall_bins,record share,20,-0.24708300391966392,0.293610255704444,-0.1819548872180451,0.4426210667757499,0.24708300391966392,0.1819548872180451,0.4294941931602109,0.5737680495241202
2,mentions,bin_amount_small,overall_bins,dollar amount,20,0.7941533360071039,2.904221655281379e-05,0.8300751879699247,5.947594428814402e-06,0.7941533360071039,0.8300751879699247,0.000786490583129064,0.00017263923299214954
2,mentions,bin_amount_share_small,overall_bins,dollar share,20,0.14765434185156026,0.534446852042207,0.13984962406015036,0.5564935505662204,0.14765434185156026,0.13984962406015036,0.6395090537257178,0.6850480301717028
2,mentions,bin_count_small,overall_bins,record count,20,0.8232647947548839,8.250247126491663e-06,0.8270676691729323,6.884217225021655e-06,0.8232647947548839,0.8270676691729323,0.0004356473122346327,0.00017263923299214954
2,mentions,bin_count_share_small,overall_bins,record share,20,0.24219367698263827,0.30357303968275295,0.17293233082706763,0.46594008519241703,0.24219367698263827,0.17293233082706763,0.4294941931602109,0.5926492269686716
2,mentions,bin_amount_medium,overall_bins,dollar amount,20,0.5995479726144689,0.005205546755519914,0.7303498071964771,0.00025570917286631226,0.5995479726144689,0.7303498071964771,0.02915106183091152,0.002386618946752248
2,mentions,bin_amount_share_medium,overall_bins,dollar share,20,0.2877898166603401,0.21854707884663346,0.27303499486335864,0.24413076691212393,0.2877898166603401,0.27303499486335864,0.3557743144014963,0.3974221786941552
2,mentions,bin_count_medium,overall_bins,record count,20,0.6156053739096142,0.0038581820303300015,0.6890068054679518,0.0007796742382945466,0.6156053739096142,0.6890068054679518,0.025721213535533343,0.003974256563949033
2,mentions,bin_count_share_medium,overall_bins,record share,20,0.3137701039121541,0.17791983389555854,0.3226777212021511,0.16526164860899512,0.3137701039121541,0.3226777212021511,0.3153009714604835,0.30047572474362744
2,mentions,bin_amount_large,overall_bins,dollar amount,20,0.5909167202726496,0.006076675762580818,0.7097744360902255,0.0004558392343877837,0.5909167202726496,0.7097744360902255,0.03000740037735675,0.003190874640714486
