source,year_filter,district_filter,outcome,feature,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
OpenElections contributions,2024,all,first_place_votes,in_kind_count,cash_in_kind,record count,65,0.257238072552806,0.03858077725957538,0.5135353793433336,1.2157140562452317e-05,0.257238072552806,0.5135353793433336,0.09237918003105358,3.6999993016159226e-05
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_small,cash_in_kind_bins,record count,65,0.2544969315759432,0.04077341084365937,0.4236280645785903,0.0004376639382482918,0.2544969315759432,0.4236280645785903,0.0947656505652521,0.0011560934217879407
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_mega,geography_bins,record count,65,0.2538680208569769,0.041290747746288416,0.3392745154742408,0.005696413588104381,0.2538680208569769,0.3392745154742408,0.0947656505652521,0.01265869686245418
OpenElections contributions,2024,all,first_place_votes,business_count_share,individual_business,record share,65,-0.2504467973818896,0.04420091657402967,-0.04761207018326865,0.7064512978481625,0.2504467973818896,0.04761207018326865,0.09980852129619604,0.7549861198377309
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_share_micro,individual_business_bins,dollar share,42,0.2467438748319629,0.1151890981160463,0.16947878345187142,0.28327691156254914,0.2467438748319629,0.16947878345187142,0.22973899273761433,0.3540961394531864
OpenElections contributions,2024,all,first_place_votes,business_bin_count_share_small,individual_business_bins,record share,42,-0.23717316378040354,0.1304466280083879,-0.24906965972624534,0.11169404710066959,0.23717316378040354,0.24906965972624534,0.25364622112742097,0.16635283610738025
OpenElections contributions,2024,all,first_place_votes,business_amount_share,individual_business,dollar share,65,-0.23216002975197514,0.0627539676196277,0.014171855632015173,0.9107871061443261,0.23216002975197514,0.014171855632015173,0.13945326137695044,0.9445199619274492
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_mega,overall_bins,dollar share,65,0.22952500861249026,0.06588243444164665,0.3373036530976162,0.006001716920011915,0.22952500861249026,0.3373036530976162,0.14411782534110207,0.013128755762526065
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_share_small,geography_bins,record share,65,0.21545196856318485,0.08477431334743475,0.23708738077661784,0.0572260318129337,0.21545196856318485,0.23708738077661784,0.182590828748321,0.10271339043347075
OpenElections contributions,2024,all,first_place_votes,cash_bin_amount_share_small,cash_in_kind_bins,dollar share,65,0.20931884323650493,0.09424229518837986,0.295173679799961,0.016984549550611763,0.20931884323650493,0.295173679799961,0.19990789888444213,0.033969099101223525
OpenElections contributions,2024,all,first_place_votes,business_bin_count_share_micro,individual_business_bins,record share,42,0.20922686208030883,0.1835849360843812,0.17453834130802437,0.26893700537514675,0.20922686208030883,0.17453834130802437,0.33783689824926655,0.3391998265992842
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_medium,cash_in_kind_bins,record count,65,0.20257753616534074,0.1055827134221479,0.42736899172309695,0.00038427393776699624,0.20257753616534074,0.42736899172309695,0.21737617469265744,0.001054869633085872
OpenElections contributions,2024,all,first_place_votes,individual_count_share,individual_business,record share,65,0.19672208851837025,0.11626607081734187,0.066375510728856,0.5993517102519438,0.19672208851837025,0.066375510728856,0.22973899273761433,0.6628885115762086
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_medium,cash_in_kind_bins,dollar amount,65,0.19659305767070503,0.11651048917407583,0.4256338357282425,0.000408251983913968,0.19659305767070503,0.4256338357282425,0.22973899273761433,0.0010991399566914522
OpenElections contributions,2024,all,first_place_votes,business_bin_count_share_medium,individual_business_bins,record share,42,0.18905771592133655,0.23048577026140615,0.14706229299111556,0.3526937965380106,0.18905771592133655,0.14706229299111556,0.4033500979574608,0.4331327325905393
OpenElections contributions,2024,all,first_place_votes,bin_count_share_small,overall_bins,record share,65,0.18728713460919666,0.13519835700428134,0.2089620734617034,0.09481753208100688,0.18728713460919666,0.2089620734617034,0.25593049315360256,0.15257993668208003
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_share_micro,geography_bins,record share,65,-0.18724983960329444,0.1352775463811899,-0.2456102011750768,0.04860134743852955,0.18724983960329444,0.2456102011750768,0.25593049315360256,0.08952879791308076
OpenElections contributions,2024,all,first_place_votes,individual_bin_count_share_small,individual_business_bins,record share,65,0.18597963770575643,0.13799552468234128,0.22924452025841718,0.06622270729355272,0.18597963770575643,0.22924452025841718,0.2575916460737037,0.11735669646958709
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_share_small,individual_business_bins,dollar share,42,-0.17844305682664363,0.2582037805017345,-0.25161591201207917,0.10796061159863304,0.17844305682664363,0.25161591201207917,0.4462781391388003,0.16428788721531115
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_share_medium,individual_business_bins,dollar share,42,0.16670822901932952,0.29133650797744226,0.15182294726075818,0.3371503557016721,0.16670822901932952,0.15182294726075818,0.48310876440872313,0.417708405294107
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_micro,cash_in_kind_bins,dollar amount,65,0.1661880785276556,0.18581029403709662,0.1713940136309218,0.17221012027619684,0.1661880785276556,0.1713940136309218,0.33783689824926655,0.23870709741255008
OpenElections contributions,2024,all,first_place_votes,business_bin_amount_share_large,individual_business_bins,dollar share,42,-0.16603536581932216,0.2933160355338676,-0.09632447609145287,0.5439646723769043,0.16603536581932216,0.09632447609145287,0.48310876440872313,0.614153662361021
OpenElections contributions,2024,all,first_place_votes,bin_amount_share_small,overall_bins,dollar share,65,0.16449300336670442,0.19040147549789332,0.1729020979020979,0.1684096563629026,0.16449300336670442,0.1729020979020979,0.34039077514009264,0.2357735189080636
OpenElections contributions,2024,all,first_place_votes,oregon_bin_count_share_medium,geography_bins,record share,65,0.16388148216721782,0.19207765168619514,0.46095391015125914,0.00011146273940210108,0.16388148216721782,0.46095391015125914,0.34039077514009264,0.0003250996565894615
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_amount_share_mega,cash_in_kind_bins,dollar share,28,0.16154651934143166,0.4114950855341601,0.31796817011612016,0.09916133939701037,0.16154651934143166,0.31796817011612016,0.5819122421695193,0.1577566763134256
OpenElections contributions,2024,all,first_place_votes,in_kind_bin_count_share_micro,cash_in_kind_bins,record share,28,-0.1493967334446834,0.44799341191763503,-0.1568920078022022,0.4252767586240316,0.1493967334446834,0.1568920078022022,0.6132656696880393,0.5075882393791995
