candidate_key,canonical_candidate,district,is_viable,fundraising,mentions,predicted,residual,money_measure,outcome_measure,district_r_squared,first_place_votes,total_spending
2024|1|joe furi,Joe Furi,1,False,813.95,,64.39009531305692,290.6099046869431,Fundraising,first_place_votes,0.6832160810019223,355.0,
2024|1|cayle tern,Cayle Tern,1,False,7395.0,,2654.777674320032,-1943.777674320032,Fundraising,first_place_votes,0.6832160810019223,711.0,
2024|1|thomas shervey,Thomas Shervey,1,False,1060.0,,374.26441689616695,10.73558310383305,Fundraising,first_place_votes,0.6832160810019223,385.0,
2024|1|steph routh,Steph Routh,1,True,76006.71,,5391.185142205333,-1497.1851422053332,Fundraising,first_place_votes,0.6832160810019223,3894.0,
2024|1|candace avalos,Candace Avalos,1,True,58893.8,,5091.597350837004,3205.4026491629957,Fundraising,first_place_votes,0.6832160810019223,8297.0,
2024|1|david linn,David Linn,1,False,4776.99,,2141.6261579634393,-1030.6261579634393,Fundraising,first_place_votes,0.6832160810019223,1111.0,
2024|2|chris olson,Chris Olson,2,False,7272.45,,1376.1616367146016,-143.16163671460163,Fundraising,first_place_votes,0.33937895870311896,1233.0,
2024|2|sam sachs,Sam Sachs,2,False,4349.01,,337.0970165230683,-33.097016523068305,Fundraising,first_place_votes,0.33937895870311896,304.0,
2024|2|debbie kitchin,Debbie Kitchin,2,False,34884.88,,4545.290612237761,-3317.290612237761,Fundraising,first_place_votes,0.33937895870311896,1228.0,
2024|2|laura streib,Laura Streib,2,False,10718.42,,2160.0826109146983,-1453.0826109146983,Fundraising,first_place_votes,0.33937895870311896,707.0,
2024|2|marnie glickman,Marnie Glickman,2,True,34318.0,,4512.175278825471,-515.1752788254707,Fundraising,first_place_votes,0.33937895870311896,3997.0,
2024|2|nat west,Nat West,2,True,51915.64,,5348.880795272238,113.11920472776183,Fundraising,first_place_votes,0.33937895870311896,5462.0,
2024|2|elana pirtle guiney,Elana Pirtle-Guiney,2,True,47039.93,,5149.53565655799,7297.46434344201,Fundraising,first_place_votes,0.33937895870311896,12447.0,
2024|2|james armstrong,James Armstrong,2,False,25246.18,,3891.661118689801,-2415.661118689801,Fundraising,first_place_votes,0.33937895870311896,1476.0,
2024|2|michael mike marshall,Michael (Mike) Marshall,2,False,55074.82,,5468.2830320574285,-3822.2830320574285,Fundraising,first_place_votes,0.33937895870311896,1646.0,
2024|2|jennifer park,Jennifer Park,2,False,15950.86,,2963.594355849582,-1849.594355849582,Fundraising,first_place_votes,0.33937895870311896,1114.0,
2024|2|will mespelt,Will Mespelt,2,False,1215.0,,-2239.300029293021,2998.300029293021,Fundraising,first_place_votes,0.33937895870311896,759.0,
2024|2|mariah hudson,Mariah Hudson,2,True,74201.68,,6070.817182402479,-3783.8171824024794,Fundraising,first_place_votes,0.33937895870311896,2287.0,
2024|2|sameer kanal,Sameer Kanal,2,True,34711.76,,4535.2349103666675,5388.7650896333325,Fundraising,first_place_votes,0.33937895870311896,9924.0,
2024|2|dan ryan,Dan Ryan,2,True,120133.0,,7044.704208216899,5002.295791783101,Fundraising,first_place_votes,0.33937895870311896,12047.0,
2024|2|nabil zaghloul,Nabil Zaghloul,2,False,26484.0,,3988.409703379926,-3154.409703379926,Fundraising,first_place_votes,0.33937895870311896,834.0,
