year,contest_type,office,district,profile_key,candidate,spending_amount_micro,spending_amount_small,spending_amount_medium,spending_amount_large,spending_amount_mega,spending_amount_share_micro,spending_amount_share_small,spending_amount_share_medium,spending_amount_share_large,spending_amount_share_mega,spending_count_micro,spending_count_small,spending_count_medium,spending_count_large,spending_count_mega,spending_count_share_micro,spending_count_share_small,spending_count_share_medium,spending_count_share_large,spending_count_share_mega,total_spending,expenditure_count,average_expenditure,median_expenditure,min_expenditure,max_expenditure,std_expenditure,source_file_stem,source_candidate_name,canonical_candidate,candidate_key,linkage_status
2024,city_council,Portland City Council,3,2024|3|daniel demelo,Daniel DeMelo,658.18,1848.04,1658.17,18667.21,44965.36,0.009708104906178685,0.027258449346401377,0.02445788129733251,0.275339926745978,0.6632356377041095,69,38,11,33,16,0.41317365269461076,0.2275449101796407,0.0658682634730539,0.19760479041916168,0.09580838323353294,67796.95999999999,167,405.9698203592814,35.0,0.23,22490.85,1778.9785804708454,DeMelo,DeMelo,Daniel DeMelo,2024|3|daniel demelo,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|harrison kass,Harrison Kass,336.49,325.3,1261.2,15203.04,43241.83,0.005573992518535525,0.005388628982375721,0.020891911689432094,0.2518399691491466,0.7163054976605101,23,8,8,31,11,0.2839506172839506,0.09876543209876543,0.09876543209876543,0.38271604938271603,0.13580246913580246,60367.86,81,745.2822222222222,300.0,4.38,10000.0,1623.5590521551724,Kass,Kass,Harrison Kass,2024|3|harrison kass,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|jesse cornett,Jesse Cornett,1359.72,6241.32,7468.1,29551.079999999998,95771.81999999999,0.009685164486533568,0.04445636661451747,0.05319461131841949,0.2104897115249554,0.6821741460555741,108,109,45,57,30,0.30945558739255014,0.3123209169054441,0.12893982808022922,0.16332378223495703,0.08595988538681948,140392.04,349,402.2694555873926,62.78,0.2,13927.54,1167.1436208332345,Cornett,Cornett,Jesse Cornett,2024|3|jesse cornett,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|jonathan jon walker,Jonathan (Jon) Walker,310.81,1884.05,1104.0,1312.27,0.0,0.067404302199244,0.40858748289464836,0.23942070598746945,0.28458750891863815,0.0,36,31,7,4,0,0.46153846153846156,0.3974358974358974,0.08974358974358974,0.05128205128205128,0.0,4611.13,78,59.117051282051285,36.965,0.14,452.31,80.35832709029339,Walker,Walker,Jonathan (Jon) Walker,2024|3|jonathan jon walker,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|kelly janes kj,Kelly Janes (KJ),192.14,839.42,2523.51,3328.01,2418.88,0.020655861775367768,0.09024119647902161,0.27128798661787407,0.3577751355628276,0.2600398195649089,20,16,15,8,2,0.32786885245901637,0.26229508196721313,0.2459016393442623,0.13114754098360656,0.03278688524590164,9301.96,61,152.4911475409836,55.0,0.35,1221.84,243.5027872058029,Janes,Janes,Kelly Janes (KJ),2024|3|kelly janes kj,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|kezia wanner,Kezia Wanner,157.83,536.78,741.53,4187.610000000001,8957.03,0.010824523790908305,0.03681421707206336,0.0508566757059636,0.28720068473703053,0.6143038986940342,15,9,4,7,4,0.38461538461538464,0.23076923076923078,0.10256410256410256,0.1794871794871795,0.10256410256410256,14580.78,39,373.86615384615385,55.83,0.73,3375.75,773.9402891445395,Wanner,Wanner,Kezia Wanner,2024|3|kezia wanner,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|luke zak,Luke Zak,230.91,1838.81,2523.12,22352.83,13511.369999999999,0.005707535697124654,0.04545092770009867,0.06236541279342235,0.552507795923775,0.33396832788557934,29,35,15,42,6,0.2283464566929134,0.2755905511811024,0.11811023622047244,0.33070866141732286,0.047244094488188976,40457.04,127,318.5593700787402,97.0,0.2,5000.0,569.0429176435067,Zak,Zak,Luke Zak,2024|3|luke zak,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|orestar|morse,Morse,769.15,2659.09,1875.44,25728.15,50257.04,0.00946193494878204,0.03271161230313572,0.023071301151067793,0.31650273893584696,0.6182524126611676,53,51,13,43,12,0.3081395348837209,0.29651162790697677,0.0755813953488372,0.25,0.06976744186046512,81288.87,172,472.60970930232554,55.0,1.58,22863.25,1854.39705881098,Morse,Morse,,,unmatched_source_candidate
2024,city_council,Portland City Council,3,2024|3|orestar|penson,Penson,453.88,2749.42,4666.73,23278.78,112761.96,0.003153898766575983,0.019105032931169778,0.03242794128611777,0.16175842850399588,0.7835546985121404,32,42,28,41,35,0.1797752808988764,0.23595505617977527,0.15730337078651685,0.2303370786516854,0.19662921348314608,143910.77,178,808.4874719101123,161.695,2.1,14173.09,1802.1839986526866,Penson,Penson,,,unmatched_source_candidate
2024,city_council,Portland City Council,3,2024|3|patrick hilton,Patrick Hilton,28.64,238.9,127.55,277.1,0.0,0.04260700099674199,0.35540546571653847,0.18975289724631428,0.4122346360404052,0.0,5,6,1,1,0,0.38461538461538464,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.0,672.19,13,51.70692307692308,28.75,1.02,277.1,76.18057094655822,Hilton,Hilton,Patrick Hilton,2024|3|patrick hilton,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|philippe knab,Philippe Knab,106.5,653.5,867.77,4291.8,0.0,0.01799117165604934,0.11039653218054689,0.14659341810300408,0.7250188780603997,0.0,13,9,5,10,0,0.35135135135135137,0.24324324324324326,0.13513513513513514,0.2702702702702703,0.0,5919.57,37,159.98837837837837,75.0,0.18,750.0,192.74896793949833,Knab,Knab,Philippe Knab,2024|3|philippe knab,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|steve novick,Steve Novick,1168.88,12664.75,16394.3,75499.01,975917.12,0.0010806512449206258,0.011708796329912818,0.015156834495074099,0.06980023539351753,0.9022534825365749,104,192,96,129,141,0.15709969788519637,0.29003021148036257,0.14501510574018128,0.19486404833836857,0.21299093655589124,1081644.06,662,1633.903413897281,129.52499999999998,0.35,75039.0,5813.440766301724,Novick,Novick,Steve Novick,2024|3|steve novick,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|theo hathaway saner,Theo Hathaway Saner,477.25,1514.06,1581.28,7516.23,1500.0,0.03791062228231081,0.1202702080099644,0.1256098665323676,0.5970559591764756,0.11915334399888156,41,27,11,13,1,0.44086021505376344,0.2903225806451613,0.11827956989247312,0.13978494623655913,0.010752688172043012,12588.82,93,135.3636559139785,35.0,0.7,1500.0,256.9850440910697,Hathaway,Hathaway,Theo Hathaway Saner,2024|3|theo hathaway saner,matched_to_official_candidate
2024,city_council,Portland City Council,3,2024|3|tiffany koyama lane,Tiffany Koyama Lane,3770.17,13149.93,10910.71,25761.45,255330.36000000002,0.012204253608881084,0.04256706744232585,0.03531858560567692,0.08339127125103368,0.8265188220920825,468,245,61,50,69,0.5240761478163494,0.27435610302351626,0.0683090705487122,0.055991041433370664,0.07726763717805152,308922.62,893,345.9379843225084,21.58,0.04,29165.0,1837.290147543708,Koyama,Koyama,Tiffany Koyama Lane,2024|3|tiffany koyama lane,matched_to_official_candidate
2024,city_council,Portland City Council,4,2024|4|ben hufford,Ben Hufford,315.44,969.91,1657.62,5497.85,80864.85,0.003532138552904871,0.010860564620365089,0.018561195498561285,0.06156216061085483,0.9054839407173139,25,17,12,10,11,0.3333333333333333,0.22666666666666666,0.16,0.13333333333333333,0.14666666666666667,89305.67,75,1190.7422666666666,75.0,0.7,31564.42,4575.44462506653,Hufford,Hufford,Ben Hufford,2024|4|ben hufford,matched_to_official_candidate
