scope,district,outcome,predictor,family,measure,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_p_fdr,spearman_p_fdr
district,1,first_place_share,contribution_share_small,bin_shares,other,13,-0.36633596395390455,0.2182779300208361,-0.30769230769230765,0.30644705251252874,0.36633596395390455,0.30769230769230765,0.5093151700486176,0.5340332580511163
district,1,first_place_share,amount_share_medium,bin_shares,dollar share,13,0.06439873948583316,0.8344387797857801,-0.03296703296703297,0.9148564744875124,0.06439873948583316,0.03296703296703297,0.9035486216169162,0.9573761750901848
district,1,first_place_share,contribution_share_medium,bin_shares,other,13,0.10771327216998007,0.726147226262782,0.22527472527472525,0.45930514272500567,0.10771327216998007,0.22527472527472525,0.9035486216169162,0.53585599984584
district,1,first_place_share,amount_share_large,bin_shares,dollar share,13,0.06259947332649998,0.839009434358565,0.2861075608979793,0.3433070944614319,0.06259947332649998,0.2861075608979793,0.9035486216169162,0.5340332580511163
district,1,first_place_share,contribution_share_large,bin_shares,other,13,-0.013157139981180212,0.9659726389958324,0.33562617720724497,0.2622455798340659,0.013157139981180212,0.33562617720724497,0.9659726389958324,0.5340332580511163
district,1,first_place_share,amount_share_mega,bin_shares,dollar share,13,0.6608540349015493,0.013927434794765974,0.5590852462516898,0.04699134461660141,0.6608540349015493,0.5590852462516898,0.048746021781680915,0.13157576492648396
district,1,first_place_share,contribution_share_mega,bin_shares,other,13,0.7009155316622956,0.007608502935837734,0.5765566601970552,0.03914622946156462,0.7009155316622956,0.5765566601970552,0.03550634703390943,0.13157576492648396
district,2,mention_share,total_amount,totals,dollar amount,20,0.7310821844528811,0.0002502669250867919,0.7744360902255639,6.119579516446203e-05,0.7310821844528811,0.7744360902255639,0.003503736951215087,0.000837219789042661
district,2,mention_share,total_contribution_count,totals,record count,20,0.7043634829875824,0.0005264991743565252,0.7548872180451127,0.00011960282700609442,0.7043634829875824,0.7548872180451127,0.003685494220495677,0.000837219789042661
district,2,mention_share,average_contribution,totals,other,20,0.08978263747934245,0.7065985726208616,0.05563909774436089,0.8157739948259725,0.08978263747934245,0.05563909774436089,0.7609523089763124,0.8948543863933639
district,2,mention_share,median_contribution,totals,other,20,0.17173475822733514,0.46908132802571956,0.0376667010255582,0.8747251779106243,0.17173475822733514,0.0376667010255582,0.6636472380583497,0.8948543863933639
district,2,mention_share,amount_share_micro,bin_shares,dollar share,20,-0.16078801581411784,0.4982836548647061,-0.09323308270676692,0.6958288642370746,0.16078801581411784,0.09323308270676692,0.6636472380583497,0.8915654692769321
district,2,mention_share,contribution_share_micro,bin_shares,other,20,-0.24708300391966395,0.293610255704444,-0.1819548872180451,0.4426210667757499,0.24708300391966395,0.1819548872180451,0.5312528194448177,0.8153951490867298
district,2,mention_share,amount_share_small,bin_shares,dollar share,20,0.14765434185156048,0.5344468520422064,0.13984962406015036,0.5564935505662204,0.14765434185156048,0.13984962406015036,0.6636472380583497,0.8656566342141205
district,2,mention_share,contribution_share_small,bin_shares,other,20,0.24219367698263833,0.30357303968275295,0.17293233082706763,0.46594008519241703,0.24219367698263833,0.17293233082706763,0.5312528194448177,0.8153951490867298
district,2,mention_share,amount_share_medium,bin_shares,dollar share,20,0.28778981666034015,0.21854707884663346,0.27303499486335864,0.24413076691212393,0.28778981666034015,0.27303499486335864,0.5099431839754781,0.5696384561282892
district,2,mention_share,contribution_share_medium,bin_shares,other,20,0.313770103912154,0.1779198338955589,0.3226777212021511,0.16526164860899512,0.313770103912154,0.3226777212021511,0.49817553490756494,0.4627326161051863
district,2,mention_share,amount_share_large,bin_shares,dollar share,20,-0.1355391884449002,0.5688404897642997,-0.03157894736842105,0.8948543863933639,0.1355391884449002,0.03157894736842105,0.6636472380583497,0.8948543863933639
district,2,mention_share,contribution_share_large,bin_shares,other,20,0.02634639551764295,0.9122059093307535,0.09172932330827067,0.7005157258604466,0.02634639551764295,0.09172932330827067,0.9122059093307535,0.8915654692769321
district,2,mention_share,amount_share_mega,bin_shares,dollar share,20,0.34951613424127737,0.13090352857392729,0.3779644730092272,0.10036562194728656,0.34951613424127737,0.3779644730092272,0.4581623500087455,0.351279676815503
district,2,mention_share,contribution_share_mega,bin_shares,other,20,0.3495161342412774,0.13090352857392729,0.3779644730092272,0.10036562194728656,0.3495161342412774,0.3779644730092272,0.4581623500087455,0.351279676815503
district,2,first_place_share,total_amount,totals,dollar amount,20,0.6513692347596438,0.0018638954085252075,0.7533834586466165,0.0001256121573080167,0.6513692347596438,0.7533834586466165,0.026094535719352906,0.0016885144996197055
district,2,first_place_share,total_contribution_count,totals,record count,20,0.5246359575394308,0.017553444611236965,0.732330827067669,0.00024121635708852933,0.5246359575394308,0.732330827067669,0.06361358069365756,0.0016885144996197055
district,2,first_place_share,average_contribution,totals,other,20,0.18436368011512,0.43650051110847143,0.06766917293233082,0.7768207117441497,0.18436368011512,0.06766917293233082,0.5555461050471455,0.8563065873620097
district,2,first_place_share,median_contribution,totals,other,20,0.24454635542695055,0.2987537679903799,0.06199311210456454,0.7951418311218662,0.24454635542695055,0.06199311210456454,0.5228190939831648,0.8563065873620097
district,2,first_place_share,amount_share_micro,bin_shares,dollar share,20,-0.1948361597961075,0.4104158899519409,-0.12330827067669171,0.604508830626885,0.1948361597961075,0.12330827067669171,0.5555461050471455,0.7807133912209958
district,2,first_place_share,contribution_share_micro,bin_shares,other,20,-0.2662975312940706,0.2564258904563711,-0.18045112781954886,0.4464646102705484,0.2662975312940706,0.18045112781954886,0.518329825629949,0.7807133912209958
district,2,first_place_share,amount_share_small,bin_shares,dollar share,20,0.03542359863815528,0.8821340472127068,0.12030075187969923,0.6134176645307824,0.03542359863815528,0.12030075187969923,0.8821340472127068,0.7807133912209958
district,2,first_place_share,contribution_share_small,bin_shares,other,20,0.22303448459822145,0.34455851352953476,0.1518796992481203,0.5226819111403138,0.22303448459822145,0.1518796992481203,0.5359799099348318,0.7807133912209958
district,2,first_place_share,amount_share_medium,bin_shares,dollar share,20,0.26482475166035446,0.2591649128149745,0.23317038128826767,0.3224908396971449,0.26482475166035446,0.23317038128826767,0.518329825629949,0.7524786259600049
district,2,first_place_share,contribution_share_medium,bin_shares,other,20,0.33904421760184333,0.1436464897705778,0.3008650081138938,0.1974028171005353,0.33904421760184333,0.3008650081138938,0.4022101713576179,0.5527278878814988
district,2,first_place_share,amount_share_large,bin_shares,dollar share,20,-0.05598098440124244,0.8146607492421609,0.018045112781954885,0.9398091995407436,0.05598098440124244,0.018045112781954885,0.8773269607223271,0.9398091995407436
district,2,first_place_share,contribution_share_large,bin_shares,other,20,0.11714774134035166,0.622813807229177,0.12330827067669171,0.604508830626885,0.11714774134035166,0.12330827067669171,0.7266161084340399,0.7807133912209958
district,2,first_place_share,amount_share_mega,bin_shares,dollar share,20,0.522223043161567,0.018175308769616386,0.3779644730092272,0.10036562194728656,0.522223043161567,0.3779644730092272,0.06361358069365756,0.351279676815503
district,2,first_place_share,contribution_share_mega,bin_shares,other,20,0.5222230431615669,0.018175308769616445,0.3779644730092272,0.10036562194728656,0.5222230431615669,0.3779644730092272,0.06361358069365756,0.351279676815503
district,3,mention_share,total_amount,totals,dollar amount,15,0.9512808889887564,5.157549909711477e-08,0.8714285714285712,2.3236477821632625e-05,0.9512808889887564,0.8714285714285712,6.189059891653773e-07,0.0002788377338595915
district,3,mention_share,total_contribution_count,totals,record count,15,0.843710616917285,7.706788960977971e-05,0.807142857142857,0.0002752442706954195,0.843710616917285,0.807142857142857,0.00046240733765867827,0.001651465624172517
district,3,mention_share,average_contribution,totals,other,15,-0.15807608052519317,0.5736592572391632,-0.175,0.5327481481378592,0.15807608052519317,0.175,0.8854573800137001,0.8557600489145146
district,3,mention_share,median_contribution,totals,other,15,-0.07080484557978964,0.8020077773200214,-0.07165438246611336,0.7996764657714784,0.07080484557978964,0.07165438246611336,0.8854573800137001,0.8723743262961583
district,3,mention_share,amount_share_micro,bin_shares,dollar share,15,0.06729010419657966,0.8116692650125584,0.14285714285714282,0.6115222287644656,0.06729010419657966,0.14285714285714282,0.8854573800137001,0.8557600489145146
district,3,mention_share,contribution_share_micro,bin_shares,other,15,-0.0052176481804399495,0.9852761557100533,-0.028571428571428564,0.9194899083821858,0.0052176481804399495,0.028571428571428564,0.9852761557100533,0.9194899083821858
district,3,mention_share,amount_share_small,bin_shares,dollar share,15,0.4909470832527833,0.06312563177392279,0.6,0.018050087941499985,0.4909470832527833,0.6,0.25250252709569115,0.07220035176599994
district,3,mention_share,contribution_share_small,bin_shares,other,15,0.18188076504689205,0.5164962224535262,0.24642857142857136,0.375950515973805,0.18188076504689205,0.24642857142857136,0.8854573800137001,0.8557600489145146
district,3,mention_share,amount_share_medium,bin_shares,dollar share,15,-0.08199814845511012,0.7714220424811197,0.35,0.20094535081629333,0.08199814845511012,0.35,0.8854573800137001,0.60283605244888
